"Número Licitação";"Número Processo";"Objeto";"Modalidade Compra";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012017";"63139000949201711";"Objeto: Serviço de postagem de correspondências.";"Inexigibilidade de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"764100";"SERVICO DE IDENTIFICACAO DA MARINHA";"RIO DE JANEIRO";"23/01/2019";"";"5567,2000"
"000012017";"64615003280201719";"Objeto: Obra de restauração da rede de esgoto do Museu Histórico do Exército e Forte de Copacabana.";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160501";"MUSEU HISTORICO DO EXERCITO FORTE COPACABANA";"RIO DE JANEIRO";"17/01/2019";"";"564266,9500"
"000012018";"000013932201894";"Objeto: Pregão Eletrônico -  Aquisição de materiais para o Hotel de Transito de Oficiais.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160383";"12 REGIMENTO DE CAVALARIA MECANIZADO";"JAGUARAO";"29/01/2019";"07/01/2019";"250,0000"
"000012018";"00012836/2018-76";"Objeto: Pregão Eletrônico -  Contratação de serviço de desinsetização e desratização em geral, esgotadura de caixa de detritos, limpeza de caixa d`agua e esgoto, para suprir as necessidades do Batalhão da Guarda Presidencial e Unidades Participantes.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160059";"BATALHAO DE GUARDA PRESIDENCIAL";"BRASILIA";"17/01/2019";"04/12/2018";"1745071,3400"
"000012018";"00350002466201815";"Objeto: Pregão Eletrônico -  Registro de Preços para aquisição de Plataforma de Dados visando atender às necessidades da SEAP, bem como, fornecer informações necessárias para subsidiar o respectivo processo.  Trata-se de plataforma integrada de dados que permita capturar, integrar, orquestrar, transformar, enriquecer, consolidar, armazenar, proteger, analisar e publicar dados estruturados e não estruturados transacionais, analíticos e orientados a objeto em tempo real.";"Pregão - Registro de Preço";"Publicado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastec";"110745";"SECRETARIA ESPECIAL DE AQUICULTURA E PESCA/PR";"BRASILIA";"02/01/2019";"31/12/2018";"85975,6000"
"000012018";"004/2018";"Objeto: Contratação de empresa especializada para o fornecimento de 02 (duas) licenças do pacote Adobe Creative Cloud - Licenciamento para 12 meses.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"926397";"AGÊN.BRAS.GEST.DE FUNDOS GARANTID.GARANT.S.A.";"Inválido";"02/01/2019";"";"6200,0000"
"000012018";"012018";"Objeto: Monitor LED 34' IPS Full HD Widescreen.";"Dispensa de Licitação";"Encerrado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"20502";"Financiadora de Estudos e Projetos";"365001";"FINANCIADORA DE ESTUDOS E PROJETOS";"RIO DE JANEIRO";"10/01/2019";"07/02/2018";"2173,0800"
"000012018";"01442000174201873";"Objeto: Pregão Eletrônico -  Contratação de empresa(s) especializada(s) na prestação de serviço de jardinagem e de apoio administrativo - secretariado, conforme condições, quantidades e exigências estabelecidas noEdital e seus anexos.";"Pregão";"Evento de Resultado de Julgame";"55000";"Ministério da Cidadania";"42207";"Instituto Brasileiro de Museus";"343022";"MUSEUS RAYMUNDO OTTONI DE CASTRO MAYA/RJ";"RIO DE JANEIRO";"08/01/2019";"11/12/2018";"218696,4000"
"000012018";"043.531/2018";"Objeto: Pregão Eletrônico -  Aquisição de Material Permanente e Equipamentos (Convênio nº 838106/2016 e 83996582016 - FNDE/UEMA).";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"94120";"Estado do Maranhão";"925438";"UNIVERSIDADE ESTADUAL DO MARANHÃO";"Inválido";"29/01/2019";"16/10/2018";"101141,8500"
"000012018";"10315720258201873";"Objeto: Pregão Eletrônico -  Contratação de serviços comuns de engenharia para instalação de uma central geradora de energia elétrica por sistema fotovoltaico, concomitante o projeto executivo.";"Pregão";"Evento de Resultado de Julgame";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170042";"DELEGACIA DA RFB EM JUAZEIRO DO NORTE";"JUAZEIRO DO NORTE";"28/01/2019";"28/09/2018";"579850,0000"
"000012018";"21160000125201875";"Objeto: Pregão Eletrônico -  O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de serviços continuado de limpeza, asseio e conservação, com fornecimento de todos os materiais e equipamentos, com execução mediante o regime de empreitada por preço global, para atender às necessidades do INMET 6º DISME no estado  do Rio de Janeiro, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Pregão";"Publicado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastec";"130064";"DISTRITO DE METEOROLOGIA DO R.DE JANEIRO";"RIO DE JANEIRO";"16/01/2019";"14/12/2018";"117999,9900"
"000012018";"21161.002344/2018";"Objeto: A  contratação de empresa de engenharia especializada para execução, mediante o regime de empreitada por preço global, de obra referente a CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA  CONSTRUÇÃO DA GUARITA/ PÓRTICO DE ACESSO DA SEDE DA  EMBRAPA ARROZ E FEIJÃO - CNPAF, conforme especificações e demais elementos técnicos constantes do Projeto Básico, Projeto Executivo e demais Anexos deste Edital.";"Tomada de Preços";"Evento de Resultado de Julgame";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135036";"EMBRAPA/CNPAF";"SANTO ANTONIO DE GOIAS";"09/01/2019";"";"231228,0400"
"000012018";"21170000089201860";"Objeto: Publicação de extratos de contratos, termos aditivos, editais de pregão e outros que se fizerem necessários no exercício de 2019";"Inexigibilidade de Licitação";"Publicado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastec";"130057";"DISTRITO DE METEOROLOGIA DE B.HORIZONTE";"BELO HORIZONTE";"22/01/2019";"";"3400,0000"
"000012018";"21177000240201808";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada em fornecimento de estrutura de eventos, conforme especificado no Anexo I   Termo de Referência do Edital";"Pregão - Registro de Preço";"Evento de Suspensão Publicado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135017";"EMBRAPA/CNPGC";"CAMPO GRANDE";"15/01/2019";"23/11/2018";"5659,2000"
"000012018";"2199/2018";"Objeto: Pregão Eletrônico -  Prestação de serviços de agenciamento de viagens para fornecimento de passagens aéreas nacionais e internacionais";"Pregão";"Publicado";"38000";"Ministério do Trabalho e Emprego";"38500";"Conselho Federal de Contabilidade";"925163";"CONSELHO REGIONAL DE MEDICINA VETERINARIA-RS";"Inválido";"04/01/2019";"05/12/2018";"127640,0000"
"000012018";"23070011030201851";"Objeto: Contratação de empresa especializada na execução de Obra de Engenharia, para a Adequação de espaço no Centro de Aulas Pequi, da Universidade Federal de Goiás, situado no prédio da Escola de Agronomia, Campus Samambaia, Goiânia-GO.";"Convite";"Evento de Habilitação Divulgad";"26000";"Ministério da Educação";"26235";"Universidade Federal de Goiás";"153052";"UNIVERSIDADE FEDERAL DE GOIAS";"GOIANIA";"30/01/2019";"";"65609,3400"
"000012018";"23728000204201888";"Objeto: A presente licitação tem por objeto a escolha da proposta mais vantajosa para a administração, para a contratação de empresa especializada para a execução da obra da Quadra Poliesportiva Coberta com fornecimento de mão de obra capacitada e material de primeira qualidade, mediante o regime empreitada por preço global, conforme especificações constantes no Projeto Básico.";"Concorrência";"Publicado";"26000";"Ministério da Educação";"26407";"Instituto Federal Goiano";"154629";"IF GOIANO - CAMPUS CAMPOS BELOS";"CAMPOS BELOS";"18/01/2019";"";"337176,0300"
"000012018";"25037001537201757";"Objeto: Contratação de empresa especializada na execução de REFORMA DO POLO BASE MANACAPURU/AM. O Projeto de reforma tem como finalidade a reconstrução do muro lateral direito, recomposição de uma parte do muro central e a retirada de vazamentos do telhado";"Convite";"Evento de Resultado de Julgame";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"257027";"DISTRITO SANIT.ESP.INDIGENA - MANAUS";"MANAUS";"14/01/2019";"";"60973,3500"
"000012018";"25050000007201802";"Objeto: Contratação de Empresa Especializada na execução de Conclusão da Construção da Unidade Básica de Saúde Indígena-UBSI  e alojamento da Aldeia Belém, adstritas ao Polo Base de Água Boa/DSEI Xavante/SESAI/MS";"Tomada de Preços";"Evento de Resultado de Julgame";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"257040";"DISTRITO SANIT.ESP.INDIGENA - XAVANTE";"BARRA DO GARCAS";"18/01/2019";"";"477151,0700"
"000012018";"25052400015201746";"Objeto: A presente licitação tem por objeto a escolha da proposta mais vantajosa para Contratação de empresa especializada na prestação de serviços na área da engenharia para EXECUÇÃO DA OBRA DE REFORMA DA CASA DE APOIO DE SAÚDE INDÍGENA- CASAI, localizada no Município de Colíder, Estado de Mato Grosso, incluindo o fornecimento de mão de obra especializada e material, estabelecendo normas gerais e específicas, métodos de trabalho e padrões de conduta para os serviços descritos neste projeto, devendo ainda, ser c";"Tomada de Preços";"Evento de Resultado de Julgame";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"257038";"DISTRITO SANIT.ESP.INDIGENA KAIAPO MT GROSSO";"COLIDER";"18/01/2019";"";"565149,3100"
"000012018";"25061001033201811";"Objeto: A presente licitação tem por objeto a escolha da proposta mais vantajosa para a contratação de empresa especializada em construção civil para execução de Melhorias Sanitárias e Sistema Simplificado de Abastecimento de Água na aldeia Ipisirei do DSEI   Distrito Sanitário Especial de Saúde Indígena de Porto Velho, nos municípios de  Rondolândia/MT, mediante o regime empreitada por preço global , conforme especificações constantes no Projeto Básico   ANEXO I, que é parte integrante deste Edital.";"Tomada de Preços";"Evento de Resultado de Julgame";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"257049";"DISTRITO SANIT.ESP.INDIGENA - PORTO VELHO";"PORTO VELHO";"30/01/2019";"";"291264,8000"
"000012018";"25220001913201817";"Objeto: Pregão Eletrônico -  Registro de Preços para aquisição de material de expediente, visando atender as demandas da SUEST/PR (Serviços, Divisões, Seções, Setores e a PGF), no desempenho de suas atribuições e no bom andamento das atividades, nos ternos da justificativa constante no item 02, do Termo de Referência e conforme especificações e quantidades contidas no Pedido de Bens e Serviços nº SOPAM/PR 0281611, anexo ao Processo nº 25220.001913/2018-17.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"36000";"Ministério da Saúde";"36211";"Fundação Nacional de Saúde";"255016";"FUNDACAO NACIONAL DE SAUDE - PR";"CURITIBA";"23/01/2019";"20/11/2018";"460,0000"
"000012018";"25977000006342018";"Objeto: Pregão Eletrônico -  Aquisição futura e eventual de materiais odontológicos para o Hospital de Guarnição de Marabá, conforme condições, quantidades, exigências e estimativas, estabelecidas no Termo de Referência";"Pregão - Registro de Preço";"Evento de Alteração Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160168";"HOSPITAL DA GUARNICAO DE MARABA";"MARABA";"03/01/2019";"08/11/2018";"1392,0000"
"000012018";"35032000365201889";"Objeto: Pregão Eletrônico -  Prestação de serviços continuados de transporte mediante fornecimento de veículos, combustível, seguro e demais insumos, para transporte de pessoal e mercadorias em serviço, atendendo, dessa forma, a demanda da Gerência Executiva do INSS em Juazeiro/BA e demais Unidades de sua abrangência.";"Pregão";"Evento de Resultado de Julgame";"25000";"Ministério da Economia";"37202";"Instituto Nacional do Seguro Social";"511679";"GERÊNCIA EXECUTIVA JUAZEIRO";"JUAZEIRO";"09/01/2019";"28/12/2018";"183802,6400"
"000012018";"35446000475201889";"Objeto: Serviço de fornecimento de água e utilização de rede de esgotos para os prédios da Gerência Executiva do INSS em Taubaté/SP e suas Agências da Previdência Social subordinadas.";"Inexigibilidade de Licitação";"Publicado";"25000";"Ministério da Economia";"37202";"Instituto Nacional do Seguro Social";"511393";"GERÊNCIA EXECUTIVA TAUBATÉ";"TAUBATE";"17/01/2019";"";"200400,0000"
"000012018";"44391008494201827";"Objeto: Adequação de Núcleo da Companhia de Comunicações da 6ª RM   1ª ETAPA";"Tomada de Preços";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160036";"COMANDO 6 REGIAO MILITAR";"SALVADOR";"03/01/2019";"";"129209,6600"
"000012018";"57700006748201866";"Objeto: Serviços não comuns de adequação da garagem do 41º Batalhão de Infantaria Motorizado, em Jataí-GO.";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160102";"41 BATALHAO DE INFANTARIA MOTORIZADO";"JATAI";"30/01/2019";"";"316410,2100"
"000012018";"61985000121201847";"Objeto: Pregão Eletrônico -  Registro de preços para eventual contratação de serviços de projeto gráfico, diagramação, editoração eletrônica e impressão de peças de comunicação para divulgação interna e externa para a Amazônia Azul Tecnologias de Defesa S.A.   AMAZUL e órgãos participantes, conforme condições, quantidades e exigências estabelecidas no Edital, Termo de Referência e anexos.";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52233";"Amazônia Azul Tecnologia de Defesa S.A.";"710300";"AMAZÔNIA AZUL TECNOL. DE DEFESA S.A - AMAZUL";"SAO PAULO";"10/01/2019";"28/11/2018";"3600,0000"
"000012018";"63162002228201758";"Objeto: Pregão Eletrônico -  Aquisição de Medicamentos Psiquiátricos e clínicos, conforme condições, quantidades, exigências e estimativas, estabelecidas no Termo de Referência.";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"765705";"UNIDADE INTEGRADA DE SAUDE MENTAL";"RIO DE JANEIRO";"11/01/2019";"17/12/2018";"0,0000"
"000012018";"63471000920201839";"Objeto: Contratação de empresa para o fornecimento de água potável e tratamento de esgoto para atender a Policlínica Naval de Niterói (PNN), situada à Rua Barão de Jaceguai, s/nº, Ponta D'areia, Niterói/RJ - CEP: 24.040-000.";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"765700";"CENTRO MEDICO ASSISTENCIAL DA MARINHA";"RIO DE JANEIRO";"09/01/2019";"";"120682,9200"
